"STATISTIC","Statistic Label","TLIST(A1)","Census Year","C02199V02655","Sex","C04282V05059","Employment Cohorts","C02076V02508","Age Group","UNIT","VALUE"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","10","Married couple with children","500","45 - 54 years","Euro","752.49"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","10","Married couple with children","530","55 - 59 years","Euro","697.12"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","10","Married couple with children","-","All ages","Euro","748.5"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","415","25 - 34 years","Euro","518.71"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","465","35 - 44 years","Euro","622.87"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","500","45 - 54 years","Euro","649.99"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","530","55 - 59 years","Euro","633.97"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","20","Cohabiting couple with children","-","All ages","Euro","588.05"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","30","One parent family with children","415","25 - 34 years","Euro","322"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","30","One parent family with children","465","35 - 44 years","Euro","456.61"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","30","One parent family with children","500","45 - 54 years","Euro","562.03"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","30","One parent family with children","530","55 - 59 years","Euro","587.44"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","30","One parent family with children","-","All ages","Euro","458.53"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","415","25 - 34 years","Euro","656.58"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","465","35 - 44 years","Euro","713.28"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","500","45 - 54 years","Euro","688.3"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","530","55 - 59 years","Euro","625"
"EAPI02C02","Median Weekly Earnings","2022","2022","2","Female","-","Total EAADS Employment Population","-","All ages","Euro","678.95"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","10","Married couple with children","415","25 - 34 years","%","12.6"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","10","Married couple with children","465","35 - 44 years","%","49"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","10","Married couple with children","500","45 - 54 years","%","33.8"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","10","Married couple with children","530","55 - 59 years","%","4.6"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","10","Married couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","20","Cohabiting couple with children","415","25 - 34 years","%","41.7"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","20","Cohabiting couple with children","465","35 - 44 years","%","43.9"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","20","Cohabiting couple with children","500","45 - 54 years","%","13.2"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","20","Cohabiting couple with children","530","55 - 59 years","%","1.3"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","20","Cohabiting couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","30","One parent family with children","415","25 - 34 years","%","27"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","30","One parent family with children","465","35 - 44 years","%","41.5"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","30","One parent family with children","500","45 - 54 years","%","28.1"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","30","One parent family with children","530","55 - 59 years","%","3.4"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","30","One parent family with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","-","Total EAADS Employment Population","415","25 - 34 years","%","32.7"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","-","Total EAADS Employment Population","465","35 - 44 years","%","34.2"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","-","Total EAADS Employment Population","500","45 - 54 years","%","24.3"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","-","Total EAADS Employment Population","530","55 - 59 years","%","8.8"
"EAPI02C03","Percentage of Employments","2016","2016","-","Both sexes","-","Total EAADS Employment Population","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","10","Married couple with children","415","25 - 34 years","%","10.7"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","10","Married couple with children","465","35 - 44 years","%","47.9"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","10","Married couple with children","500","45 - 54 years","%","35.7"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","10","Married couple with children","530","55 - 59 years","%","5.8"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","10","Married couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","20","Cohabiting couple with children","415","25 - 34 years","%","39.2"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","20","Cohabiting couple with children","465","35 - 44 years","%","44.4"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","20","Cohabiting couple with children","500","45 - 54 years","%","14.7"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","20","Cohabiting couple with children","530","55 - 59 years","%","1.7"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","20","Cohabiting couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","30","One parent family with children","415","25 - 34 years","%","13.7"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","30","One parent family with children","465","35 - 44 years","%","37.3"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","30","One parent family with children","500","45 - 54 years","%","40.2"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","30","One parent family with children","530","55 - 59 years","%","8.8"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","30","One parent family with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","-","Total EAADS Employment Population","415","25 - 34 years","%","32.6"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","-","Total EAADS Employment Population","465","35 - 44 years","%","34.8"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","-","Total EAADS Employment Population","500","45 - 54 years","%","24.1"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","-","Total EAADS Employment Population","530","55 - 59 years","%","8.5"
"EAPI02C03","Percentage of Employments","2016","2016","1","Male","-","Total EAADS Employment Population","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","10","Married couple with children","415","25 - 34 years","%","14.6"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","10","Married couple with children","465","35 - 44 years","%","50.1"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","10","Married couple with children","500","45 - 54 years","%","31.9"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","10","Married couple with children","530","55 - 59 years","%","3.4"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","10","Married couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","20","Cohabiting couple with children","415","25 - 34 years","%","44.2"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","20","Cohabiting couple with children","465","35 - 44 years","%","43.4"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","20","Cohabiting couple with children","500","45 - 54 years","%","11.5"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","20","Cohabiting couple with children","530","55 - 59 years","%","0.9"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","20","Cohabiting couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","30","One parent family with children","415","25 - 34 years","%","28.2"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","30","One parent family with children","465","35 - 44 years","%","41.8"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","30","One parent family with children","500","45 - 54 years","%","27.1"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","30","One parent family with children","530","55 - 59 years","%","2.9"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","30","One parent family with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","-","Total EAADS Employment Population","415","25 - 34 years","%","32.7"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","-","Total EAADS Employment Population","465","35 - 44 years","%","33.6"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","-","Total EAADS Employment Population","500","45 - 54 years","%","24.6"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","-","Total EAADS Employment Population","530","55 - 59 years","%","9.1"
"EAPI02C03","Percentage of Employments","2016","2016","2","Female","-","Total EAADS Employment Population","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","10","Married couple with children","415","25 - 34 years","%","6.8"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","10","Married couple with children","465","35 - 44 years","%","45.6"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","10","Married couple with children","500","45 - 54 years","%","41.1"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","10","Married couple with children","530","55 - 59 years","%","6.5"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","10","Married couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","20","Cohabiting couple with children","415","25 - 34 years","%","28.8"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","20","Cohabiting couple with children","465","35 - 44 years","%","49.3"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","20","Cohabiting couple with children","500","45 - 54 years","%","19.7"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","20","Cohabiting couple with children","530","55 - 59 years","%","2.2"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","20","Cohabiting couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","30","One parent family with children","415","25 - 34 years","%","20.2"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","30","One parent family with children","465","35 - 44 years","%","40.9"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","30","One parent family with children","500","45 - 54 years","%","33.8"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","30","One parent family with children","530","55 - 59 years","%","5.1"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","30","One parent family with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","-","Total EAADS Employment Population","415","25 - 34 years","%","29.9"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","-","Total EAADS Employment Population","465","35 - 44 years","%","33.1"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","-","Total EAADS Employment Population","500","45 - 54 years","%","27.2"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","-","Total EAADS Employment Population","530","55 - 59 years","%","9.8"
"EAPI02C03","Percentage of Employments","2022","2022","-","Both sexes","-","Total EAADS Employment Population","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","10","Married couple with children","415","25 - 34 years","%","5.9"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","10","Married couple with children","465","35 - 44 years","%","43.6"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","10","Married couple with children","500","45 - 54 years","%","42.6"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","10","Married couple with children","530","55 - 59 years","%","8"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","10","Married couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","20","Cohabiting couple with children","415","25 - 34 years","%","27"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","20","Cohabiting couple with children","465","35 - 44 years","%","48.6"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","20","Cohabiting couple with children","500","45 - 54 years","%","21.4"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","20","Cohabiting couple with children","530","55 - 59 years","%","3.1"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","20","Cohabiting couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","30","One parent family with children","415","25 - 34 years","%","12.1"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","30","One parent family with children","465","35 - 44 years","%","34.1"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","30","One parent family with children","500","45 - 54 years","%","43.4"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","30","One parent family with children","530","55 - 59 years","%","10.4"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","30","One parent family with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","-","Total EAADS Employment Population","415","25 - 34 years","%","30.4"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","-","Total EAADS Employment Population","465","35 - 44 years","%","33"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","-","Total EAADS Employment Population","500","45 - 54 years","%","26.9"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","-","Total EAADS Employment Population","530","55 - 59 years","%","9.6"
"EAPI02C03","Percentage of Employments","2022","2022","1","Male","-","Total EAADS Employment Population","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","10","Married couple with children","415","25 - 34 years","%","7.8"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","10","Married couple with children","465","35 - 44 years","%","47.6"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","10","Married couple with children","500","45 - 54 years","%","39.5"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","10","Married couple with children","530","55 - 59 years","%","5.1"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","10","Married couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","20","Cohabiting couple with children","415","25 - 34 years","%","30.6"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","20","Cohabiting couple with children","465","35 - 44 years","%","50.1"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","20","Cohabiting couple with children","500","45 - 54 years","%","18"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","20","Cohabiting couple with children","530","55 - 59 years","%","1.3"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","20","Cohabiting couple with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","30","One parent family with children","415","25 - 34 years","%","21.1"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","30","One parent family with children","465","35 - 44 years","%","41.6"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","30","One parent family with children","500","45 - 54 years","%","32.7"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","30","One parent family with children","530","55 - 59 years","%","4.6"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","30","One parent family with children","-","All ages","%","100"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","-","Total EAADS Employment Population","415","25 - 34 years","%","29.3"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","-","Total EAADS Employment Population","465","35 - 44 years","%","33.1"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","-","Total EAADS Employment Population","500","45 - 54 years","%","27.5"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","-","Total EAADS Employment Population","530","55 - 59 years","%","10.1"
"EAPI02C03","Percentage of Employments","2022","2022","2","Female","-","Total EAADS Employment Population","-","All ages","%","100"
